lexeme,gloss,temperature_zone,semantic_role,examples,notes
syr,cold,cold,base adjective,"syr-i (it is cold); syr vitk (became cold)","Used for environmental cold; broad physical temperature use"
ik rɑŋʃu,very cold / ice-like,extreme cold,scalar extreme,"ik rɑŋʃu winter conditions","High-intensity cold endpoint"
ʃlut,lukewarm / in-between,middle,midpoint term,"ʃlut water","Rare but important neutral temperature zone"
ʃund,warm,warm,base adjective,"ʃund weather","Also appears in month name Shundposh"
garm,hot,hot,base adjective,"garm day","General high temperature term"
mats,hot / very hot,hot,intensified adjective,"mats tea","Liquid and environmental heat"
ɣamats,very hot,intense hot,degree intensified,"ɣamats weather","Strong heat extension of mats"
ˈtɑːodi mɑts,too hot to drink,extreme hot,threshold state,"tea too hot","Functional/consumption boundary"
ɣaftʃ,very / intensely,degree marker,intensifier,"ɣaftʃ mats","Scalar modifier, not temperature-specific"
vitk,become cold,change of state,verb,"syr vitk","Cold transition marker"
vitɑ / vitja / wost,come to be,change of state,light verb,"tea becomes ready","General state-change system"
peʃt,boil (liquid),process verb,process,"water peʃt","Liquid-specific boiling action"
padze,cook (food),process verb,process,"food padze","Food-specific cooking verb"
pisak,cook (general),process verb,process,"pisak stage","Alternative cooking verb"
thit,burn,physical effect,body response,"tongue burns","Used in heat sensation context"
baghet,unfriendly / cold person,non-temperature domain,behaviour lexeme,"baghet person","Independent lexical domain"
karha,anger / conflict,non-temperature domain,emotion,"karha situation","Used instead of heat metaphor"
sik,red / colour term,colour domain,visual lexeme,"sik colour","No temperature metaphor extension"
